started
2017-1-15T11.19.29.71	Created parser
2017-1-15T11.19.29.72	Assigned names - going to load data
2017-1-15T11.19.29.72	Loading data
2017-1-15T11.19.29.72	Creating stop words manager
2017-1-15T11.19.29.74	Before big loop
2017-1-15T11.19.29.198	Opening sw stream with some words
2017-1-15T11.19.29.198	finalizing stats
2017-1-15T11.19.29.298	At line '53' in file ''	 Word global is in 1 documents
2017-1-15T11.19.29.298	At line '53' in file ''	 Word drug is in 1 documents
2017-1-15T11.19.29.298	At line '53' in file ''	 Word preserv is in 2 documents
2017-1-15T11.19.29.298	At line '53' in file ''	 Word optimal is in 1 documents
2017-1-15T11.19.29.298	At line '53' in file ''	 Word spend is in 1 documents
2017-1-15T11.19.29.299	At line '53' in file ''	 Word expenditur is in 1 documents
2017-1-15T11.19.29.299	At line '53' in file ''	 Word more is in 2 documents
2017-1-15T11.19.29.299	At line '53' in file ''	 Word efficaci is in 1 documents
2017-1-15T11.19.29.299	At line '53' in file ''	 Word ear is in 1 documents
2017-1-15T11.19.29.299	At line '53' in file ''	 Word heavili is in 1 documents
2017-1-15T11.19.29.300	At line '53' in file ''	 Word technic is in 2 documents
2017-1-15T11.19.29.300	At line '53' in file ''	 Word d is in 2 documents
2017-1-15T11.19.29.300	At line '53' in file ''	 Word r is in 1 documents
2017-1-15T11.19.29.301	At line '53' in file ''	 Word featur is in 2 documents
2017-1-15T11.19.29.301	At line '53' in file ''	 Word pharmaceut is in 1 documents
2017-1-15T11.19.29.301	At line '53' in file ''	 Word simpli is in 2 documents
2017-1-15T11.19.29.302	At line '53' in file ''	 Word anteced is in 1 documents
2017-1-15T11.19.29.302	At line '53' in file ''	 Word estim is in 2 documents
2017-1-15T11.19.29.302	At line '53' in file ''	 Word perceiv is in 1 documents
2017-1-15T11.19.29.302	At line '53' in file ''	 Word hypothes is in 1 documents
2017-1-15T11.19.29.302	At line '53' in file ''	 Word lack is in 3 documents
2017-1-15T11.19.29.303	At line '53' in file ''	 Word mix is in 1 documents
2017-1-15T11.19.29.303	At line '53' in file ''	 Word malpractic is in 1 documents
2017-1-15T11.19.29.303	At line '53' in file ''	 Word medic is in 2 documents
2017-1-15T11.19.29.303	At line '53' in file ''	 Word say is in 1 documents
2017-1-15T11.19.29.304	At line '53' in file ''	 Word promin is in 1 documents
2017-1-15T11.19.29.304	At line '53' in file ''	 Word fee is in 2 documents
2017-1-15T11.19.29.304	At line '53' in file ''	 Word exercis is in 2 documents
2017-1-15T11.19.29.304	At line '53' in file ''	 Word interprofess is in 1 documents
2017-1-15T11.19.29.305	At line '53' in file ''	 Word merit is in 1 documents
2017-1-15T11.19.29.305	At line '53' in file ''	 Word client is in 1 documents
2017-1-15T11.19.29.305	At line '53' in file ''	 Word link is in 1 documents
2017-1-15T11.19.29.306	At line '53' in file ''	 Word cartel is in 1 documents
2017-1-15T11.19.29.306	At line '53' in file ''	 Word rehears is in 1 documents
2017-1-15T11.19.29.306	At line '53' in file ''	 Word profess is in 2 documents
2017-1-15T11.19.29.306	At line '53' in file ''	 Word selfregul is in 2 documents
2017-1-15T11.19.29.307	At line '53' in file ''	 Word mode is in 1 documents
2017-1-15T11.19.29.307	At line '53' in file ''	 Word toward is in 1 documents
2017-1-15T11.19.29.307	At line '53' in file ''	 Word eventu is in 1 documents
2017-1-15T11.19.29.308	At line '53' in file ''	 Word prudenti is in 1 documents
2017-1-15T11.19.29.308	At line '53' in file ''	 Word balanc is in 2 documents
2017-1-15T11.19.29.308	At line '53' in file ''	 Word complement is in 2 documents
2017-1-15T11.19.29.309	At line '53' in file ''	 Word deposit is in 1 documents
2017-1-15T11.19.29.309	At line '53' in file ''	 Word resort is in 2 documents
2017-1-15T11.19.29.309	At line '53' in file ''	 Word lender is in 1 documents
2017-1-15T11.19.29.309	At line '53' in file ''	 Word endang is in 1 documents
2017-1-15T11.19.29.310	At line '53' in file ''	 Word crisi is in 2 documents
2017-1-15T11.19.29.310	At line '53' in file ''	 Word occurr is in 1 documents
2017-1-15T11.19.29.310	At line '53' in file ''	 Word informat is in 1 documents
2017-1-15T11.19.29.311	At line '53' in file ''	 Word shed is in 1 documents
2017-1-15T11.19.29.311	At line '53' in file ''	 Word bank is in 1 documents
2017-1-15T11.19.29.311	At line '53' in file ''	 Word intermediari is in 1 documents
2017-1-15T11.19.29.312	At line '53' in file ''	 Word stir is in 1 documents
2017-1-15T11.19.29.312	At line '53' in file ''	 Word deserv is in 1 documents
2017-1-15T11.19.29.312	At line '53' in file ''	 Word induct is in 2 documents
2017-1-15T11.19.29.313	At line '53' in file ''	 Word deduct is in 1 documents
2017-1-15T11.19.29.313	At line '53' in file ''	 Word moreov is in 2 documents
2017-1-15T11.19.29.313	At line '53' in file ''	 Word opportun is in 4 documents
2017-1-15T11.19.29.313	At line '53' in file ''	 Word burden is in 2 documents
2017-1-15T11.19.29.314	At line '53' in file ''	 Word heavi is in 1 documents
2017-1-15T11.19.29.314	At line '53' in file ''	 Word tenant is in 1 documents
2017-1-15T11.19.29.314	At line '53' in file ''	 Word virtual is in 1 documents
2017-1-15T11.19.29.314	At line '53' in file ''	 Word landlord is in 1 documents
2017-1-15T11.19.29.315	At line '53' in file ''	 Word jurisdict is in 3 documents
2017-1-15T11.19.29.315	At line '53' in file ''	 Word assur is in 2 documents
2017-1-15T11.19.29.315	At line '53' in file ''	 Word supplement is in 1 documents
2017-1-15T11.19.29.316	At line '53' in file ''	 Word habit is in 1 documents
2017-1-15T11.19.29.316	At line '53' in file ''	 Word rent is in 2 documents
2017-1-15T11.19.29.316	At line '53' in file ''	 Word period is in 1 documents
2017-1-15T11.19.29.316	At line '53' in file ''	 Word observ is in 1 documents
2017-1-15T11.19.29.317	At line '53' in file ''	 Word involuntari is in 1 documents
2017-1-15T11.19.29.317	At line '53' in file ''	 Word convers is in 1 documents
2017-1-15T11.19.29.317	At line '53' in file ''	 Word inherit is in 2 documents
2017-1-15T11.19.29.318	At line '53' in file ''	 Word taxat is in 7 documents
2017-1-15T11.19.29.318	At line '53' in file ''	 Word donor is in 1 documents
2017-1-15T11.19.29.318	At line '53' in file ''	 Word bequest is in 1 documents
2017-1-15T11.19.29.318	At line '53' in file ''	 Word appear is in 2 documents
2017-1-15T11.19.29.319	At line '53' in file ''	 Word fiscal is in 1 documents
2017-1-15T11.19.29.319	At line '53' in file ''	 Word viewpoint is in 1 documents
2017-1-15T11.19.29.320	At line '53' in file ''	 Word bequeath is in 1 documents
2017-1-15T11.19.29.320	At line '53' in file ''	 Word predatori is in 1 documents
2017-1-15T11.19.29.320	At line '53' in file ''	 Word femal is in 1 documents
2017-1-15T11.19.29.320	At line '53' in file ''	 Word male is in 1 documents
2017-1-15T11.19.29.321	At line '53' in file ''	 Word vulner is in 1 documents
2017-1-15T11.19.29.321	At line '53' in file ''	 Word element is in 4 documents
2017-1-15T11.19.29.321	At line '53' in file ''	 Word needsbas is in 1 documents
2017-1-15T11.19.29.322	At line '53' in file ''	 Word mixtur is in 1 documents
2017-1-15T11.19.29.322	At line '53' in file ''	 Word marit is in 1 documents
2017-1-15T11.19.29.322	At line '53' in file ''	 Word postdivorc is in 1 documents
2017-1-15T11.19.29.323	At line '53' in file ''	 Word blackwidow is in 1 documents
2017-1-15T11.19.29.323	At line '53' in file ''	 Word greenergrass is in 1 documents
2017-1-15T11.19.29.323	At line '53' in file ''	 Word behaviour is in 1 documents
2017-1-15T11.19.29.324	At line '53' in file ''	 Word marriag is in 1 documents
2017-1-15T11.19.29.324	At line '53' in file ''	 Word prevent is in 2 documents
2017-1-15T11.19.29.324	At line '53' in file ''	 Word vehicl is in 1 documents
2017-1-15T11.19.29.324	At line '53' in file ''	 Word over is in 1 documents
2017-1-15T11.19.29.325	At line '53' in file ''	 Word perhap is in 2 documents
2017-1-15T11.19.29.325	At line '53' in file ''	 Word extracontractu is in 1 documents
2017-1-15T11.19.29.325	At line '53' in file ''	 Word proferentum is in 1 documents
2017-1-15T11.19.29.325	At line '53' in file ''	 Word contra is in 2 documents
2017-1-15T11.19.29.326	At line '53' in file ''	 Word genet is in 1 documents
2017-1-15T11.19.29.326	At line '53' in file ''	 Word otherwis is in 2 documents
2017-1-15T11.19.29.327	At line '53' in file ''	 Word insuranc is in 1 documents
2017-1-15T11.19.29.327	At line '53' in file ''	 Word exempt is in 1 documents
2017-1-15T11.19.29.327	At line '53' in file ''	 Word underwrit is in 1 documents
2017-1-15T11.19.29.327	At line '53' in file ''	 Word connect is in 2 documents
2017-1-15T11.19.29.328	At line '53' in file ''	 Word misrepresent is in 2 documents
2017-1-15T11.19.29.328	At line '53' in file ''	 Word fraud is in 1 documents
2017-1-15T11.19.29.328	At line '53' in file ''	 Word theme is in 2 documents
2017-1-15T11.19.29.328	At line '53' in file ''	 Word captur is in 2 documents
2017-1-15T11.19.29.328	At line '53' in file ''	 Word unresolv is in 1 documents
2017-1-15T11.19.29.328	At line '53' in file ''	 Word except is in 1 documents
2017-1-15T11.19.29.329	At line '53' in file ''	 Word diffus is in 1 documents
2017-1-15T11.19.29.329	At line '53' in file ''	 Word variant is in 3 documents
2017-1-15T11.19.29.329	At line '53' in file ''	 Word instead is in 1 documents
2017-1-15T11.19.29.329	At line '53' in file ''	 Word traction is in 1 documents
2017-1-15T11.19.29.329	At line '53' in file ''	 Word profession is in 3 documents
2017-1-15T11.19.29.329	At line '53' in file ''	 Word stapl is in 1 documents
2017-1-15T11.19.29.330	At line '53' in file ''	 Word scheme is in 2 documents
2017-1-15T11.19.29.330	At line '53' in file ''	 Word premis is in 2 documents
2017-1-15T11.19.29.330	At line '53' in file ''	 Word deregulatori is in 1 documents
2017-1-15T11.19.29.330	At line '53' in file ''	 Word reassign is in 1 documents
2017-1-15T11.19.29.330	At line '53' in file ''	 Word contend is in 1 documents
2017-1-15T11.19.29.330	At line '53' in file ''	 Word insid is in 3 documents
2017-1-15T11.19.29.331	At line '53' in file ''	 Word insider is in 1 documents
2017-1-15T11.19.29.331	At line '53' in file ''	 Word displac is in 1 documents
2017-1-15T11.19.29.331	At line '53' in file ''	 Word peopl is in 1 documents
2017-1-15T11.19.29.332	At line '53' in file ''	 Word compani is in 2 documents
2017-1-15T11.19.29.332	At line '53' in file ''	 Word acquir is in 1 documents
2017-1-15T11.19.29.332	At line '53' in file ''	 Word simultan is in 1 documents
2017-1-15T11.19.29.332	At line '53' in file ''	 Word paradox is in 1 documents
2017-1-15T11.19.29.332	At line '53' in file ''	 Word bid is in 1 documents
2017-1-15T11.19.29.333	At line '53' in file ''	 Word behalf is in 1 documents
2017-1-15T11.19.29.333	At line '53' in file ''	 Word bidder is in 1 documents
2017-1-15T11.19.29.333	At line '53' in file ''	 Word realloc is in 1 documents
2017-1-15T11.19.29.333	At line '53' in file ''	 Word qualif is in 1 documents
2017-1-15T11.19.29.334	At line '53' in file ''	 Word buyout is in 1 documents
2017-1-15T11.19.29.334	At line '53' in file ''	 Word leverag is in 1 documents
2017-1-15T11.19.29.334	At line '53' in file ''	 Word respons is in 2 documents
2017-1-15T11.19.29.334	At line '53' in file ''	 Word concentr is in 2 documents
2017-1-15T11.19.29.334	At line '53' in file ''	 Word twentieth is in 1 documents
2017-1-15T11.19.29.335	At line '53' in file ''	 Word struggl is in 1 documents
2017-1-15T11.19.29.335	At line '53' in file ''	 Word frequent is in 1 documents
2017-1-15T11.19.29.335	At line '53' in file ''	 Word competitor is in 1 documents
2017-1-15T11.19.29.335	At line '53' in file ''	 Word dramat is in 1 documents
2017-1-15T11.19.29.336	At line '53' in file ''	 Word takeov is in 1 documents
2017-1-15T11.19.29.336	At line '53' in file ''	 Word merger is in 1 documents
2017-1-15T11.19.29.336	At line '53' in file ''	 Word manageri is in 1 documents
2017-1-15T11.19.29.336	At line '53' in file ''	 Word hierarch is in 1 documents
2017-1-15T11.19.29.337	At line '53' in file ''	 Word residu is in 1 documents
2017-1-15T11.19.29.337	At line '53' in file ''	 Word small is in 2 documents
2017-1-15T11.19.29.337	At line '53' in file ''	 Word mass is in 1 documents
2017-1-15T11.19.29.337	At line '53' in file ''	 Word superior is in 3 documents
2017-1-15T11.19.29.338	At line '53' in file ''	 Word necessarili is in 2 documents
2017-1-15T11.19.29.338	At line '53' in file ''	 Word sharehold is in 3 documents
2017-1-15T11.19.29.338	At line '53' in file ''	 Word dispers is in 2 documents
2017-1-15T11.19.29.338	At line '53' in file ''	 Word deter is in 3 documents
2017-1-15T11.19.29.339	At line '53' in file ''	 Word unlimit is in 1 documents
2017-1-15T11.19.29.339	At line '53' in file ''	 Word inquiri is in 1 documents
2017-1-15T11.19.29.339	At line '53' in file ''	 Word frustrat is in 1 documents
2017-1-15T11.19.29.340	At line '53' in file ''	 Word true is in 1 documents
2017-1-15T11.19.29.340	At line '53' in file ''	 Word complex is in 2 documents
2017-1-15T11.19.29.340	At line '53' in file ''	 Word credit is in 2 documents
2017-1-15T11.19.29.341	At line '53' in file ''	 Word recov is in 1 documents
2017-1-15T11.19.29.341	At line '53' in file ''	 Word shift is in 4 documents
2017-1-15T11.19.29.341	At line '53' in file ''	 Word rata is in 1 documents
2017-1-15T11.19.29.341	At line '53' in file ''	 Word pro is in 1 documents
2017-1-15T11.19.29.342	At line '53' in file ''	 Word judgment is in 1 documents
2017-1-15T11.19.29.342	At line '53' in file ''	 Word wealthi is in 1 documents
2017-1-15T11.19.29.342	At line '53' in file ''	 Word monitor is in 1 documents
2017-1-15T11.19.29.342	At line '53' in file ''	 Word poor is in 1 documents
2017-1-15T11.19.29.343	At line '53' in file ''	 Word riski is in 1 documents
2017-1-15T11.19.29.343	At line '53' in file ''	 Word investor is in 4 documents
2017-1-15T11.19.29.343	At line '53' in file ''	 Word passiv is in 1 documents
2017-1-15T11.19.29.343	At line '53' in file ''	 Word bankruptci is in 2 documents
2017-1-15T11.19.29.344	At line '53' in file ''	 Word statutori is in 1 documents
2017-1-15T11.19.29.344	At line '53' in file ''	 Word england is in 1 documents
2017-1-15T11.19.29.344	At line '53' in file ''	 Word later is in 1 documents
2017-1-15T11.19.29.345	At line '53' in file ''	 Word twelfth is in 1 documents
2017-1-15T11.19.29.345	At line '53' in file ''	 Word synthesi is in 1 documents
2017-1-15T11.19.29.345	At line '53' in file ''	 Word complementari is in 1 documents
2017-1-15T11.19.29.345	At line '53' in file ''	 Word murphi is in 1 documents
2017-1-15T11.19.29.346	At line '53' in file ''	 Word gibbon is in 1 documents
2017-1-15T11.19.29.346	At line '53' in file ''	 Word baker is in 1 documents
2017-1-15T11.19.29.346	At line '53' in file ''	 Word moor is in 1 documents
2017-1-15T11.19.29.347	At line '53' in file ''	 Word hart is in 1 documents
2017-1-15T11.19.29.347	At line '53' in file ''	 Word grossman is in 1 documents
2017-1-15T11.19.29.347	At line '53' in file ''	 Word williamson is in 1 documents
2017-1-15T11.19.29.347	At line '53' in file ''	 Word adapt is in 2 documents
2017-1-15T11.19.29.348	At line '53' in file ''	 Word simon is in 2 documents
2017-1-15T11.19.29.348	At line '53' in file ''	 Word milgrom is in 1 documents
2017-1-15T11.19.29.348	At line '53' in file ''	 Word holmstrøm is in 1 documents
2017-1-15T11.19.29.349	At line '53' in file ''	 Word team is in 1 documents
2017-1-15T11.19.29.349	At line '53' in file ''	 Word hazard is in 4 documents
2017-1-15T11.19.29.349	At line '53' in file ''	 Word demsetz is in 1 documents
2017-1-15T11.19.29.350	At line '53' in file ''	 Word alchian is in 1 documents
2017-1-15T11.19.29.350	At line '53' in file ''	 Word belong is in 1 documents
2017-1-15T11.19.29.350	At line '53' in file ''	 Word categor is in 1 documents
2017-1-15T11.19.29.351	At line '53' in file ''	 Word continu is in 2 documents
2017-1-15T11.19.29.351	At line '53' in file ''	 Word occup is in 1 documents
2017-1-15T11.19.29.351	At line '53' in file ''	 Word reduct is in 1 documents
2017-1-15T11.19.29.351	At line '53' in file ''	 Word viabil is in 1 documents
2017-1-15T11.19.29.352	At line '53' in file ''	 Word potenti is in 4 documents
2017-1-15T11.19.29.352	At line '53' in file ''	 Word indic is in 2 documents
2017-1-15T11.19.29.352	At line '53' in file ''	 Word augment is in 1 documents
2017-1-15T11.19.29.352	At line '53' in file ''	 Word ill is in 1 documents
2017-1-15T11.19.29.353	At line '53' in file ''	 Word worker is in 1 documents
2017-1-15T11.19.29.353	At line '53' in file ''	 Word trend is in 1 documents
2017-1-15T11.19.29.353	At line '53' in file ''	 Word ineffici is in 2 documents
2017-1-15T11.19.29.353	At line '53' in file ''	 Word perpetu is in 1 documents
2017-1-15T11.19.29.353	At line '53' in file ''	 Word break is in 1 documents
2017-1-15T11.19.29.354	At line '53' in file ''	 Word nondiscriminatori is in 1 documents
2017-1-15T11.19.29.354	At line '53' in file ''	 Word journey is in 1 documents
2017-1-15T11.19.29.354	At line '53' in file ''	 Word speed is in 1 documents
2017-1-15T11.19.29.357	At line '53' in file ''	 Word antidiscrimin is in 2 documents
2017-1-15T11.19.29.357	At line '53' in file ''	 Word recogn is in 2 documents
2017-1-15T11.19.29.357	At line '53' in file ''	 Word elimin is in 2 documents
2017-1-15T11.19.29.357	At line '53' in file ''	 Word statusproduct is in 1 documents
2017-1-15T11.19.29.358	At line '53' in file ''	 Word sort is in 2 documents
2017-1-15T11.19.29.358	At line '53' in file ''	 Word statisticaldiscrimin is in 1 documents
2017-1-15T11.19.29.358	At line '53' in file ''	 Word tastefordiscrimin is in 1 documents
2017-1-15T11.19.29.359	At line '53' in file ''	 Word becker is in 2 documents
2017-1-15T11.19.29.360	At line '53' in file ''	 Word segreg is in 1 documents
2017-1-15T11.19.29.360	At line '53' in file ''	 Word discrimin is in 1 documents
2017-1-15T11.19.29.360	At line '53' in file ''	 Word overlap is in 1 documents
2017-1-15T11.19.29.360	At line '53' in file ''	 Word reshap is in 1 documents
2017-1-15T11.19.29.361	At line '53' in file ''	 Word test is in 4 documents
2017-1-15T11.19.29.361	At line '53' in file ''	 Word longrun is in 1 documents
2017-1-15T11.19.29.361	At line '53' in file ''	 Word adjust is in 1 documents
2017-1-15T11.19.29.361	At line '53' in file ''	 Word shortrun is in 1 documents
2017-1-15T11.19.29.361	At line '53' in file ''	 Word tradeoff is in 4 documents
2017-1-15T11.19.29.362	At line '53' in file ''	 Word segment is in 1 documents
2017-1-15T11.19.29.362	At line '53' in file ''	 Word labour is in 1 documents
2017-1-15T11.19.29.362	At line '53' in file ''	 Word monopsoni is in 1 documents
2017-1-15T11.19.29.362	At line '53' in file ''	 Word repeal is in 1 documents
2017-1-15T11.19.29.362	At line '53' in file ''	 Word fall is in 3 documents
2017-1-15T11.19.29.363	At line '53' in file ''	 Word rise is in 3 documents
2017-1-15T11.19.29.363	At line '53' in file ''	 Word uk is in 2 documents
2017-1-15T11.19.29.363	At line '53' in file ''	 Word skill is in 2 documents
2017-1-15T11.19.29.363	At line '53' in file ''	 Word unemploy is in 2 documents
2017-1-15T11.19.29.363	At line '53' in file ''	 Word interfer is in 1 documents
2017-1-15T11.19.29.363	At line '53' in file ''	 Word unwarr is in 1 documents
2017-1-15T11.19.29.364	At line '53' in file ''	 Word legisl is in 3 documents
2017-1-15T11.19.29.364	At line '53' in file ''	 Word minimum is in 1 documents
2017-1-15T11.19.29.364	At line '53' in file ''	 Word hostil is in 2 documents
2017-1-15T11.19.29.364	At line '53' in file ''	 Word economist is in 4 documents
2017-1-15T11.19.29.364	At line '53' in file ''	 Word vagu is in 1 documents
2017-1-15T11.19.29.364	At line '53' in file ''	 Word agreement is in 2 documents
2017-1-15T11.19.29.365	At line '53' in file ''	 Word devic is in 2 documents
2017-1-15T11.19.29.365	At line '53' in file ''	 Word wage is in 3 documents
2017-1-15T11.19.29.365	At line '53' in file ''	 Word encount is in 1 documents
2017-1-15T11.19.29.365	At line '53' in file ''	 Word intens is in 1 documents
2017-1-15T11.19.29.365	At line '53' in file ''	 Word earn is in 1 documents
2017-1-15T11.19.29.366	At line '53' in file ''	 Word firmspecif is in 1 documents
2017-1-15T11.19.29.366	At line '53' in file ''	 Word retent is in 1 documents
2017-1-15T11.19.29.366	At line '53' in file ''	 Word acquisit is in 3 documents
2017-1-15T11.19.29.366	At line '53' in file ''	 Word employe is in 3 documents
2017-1-15T11.19.29.366	At line '53' in file ''	 Word match is in 1 documents
2017-1-15T11.19.29.366	At line '53' in file ''	 Word labor is in 6 documents
2017-1-15T11.19.29.367	At line '53' in file ''	 Word contain is in 1 documents
2017-1-15T11.19.29.367	At line '53' in file ''	 Word year is in 4 documents
2017-1-15T11.19.29.367	At line '53' in file ''	 Word fascin is in 1 documents
2017-1-15T11.19.29.367	At line '53' in file ''	 Word vast is in 3 documents
2017-1-15T11.19.29.367	At line '53' in file ''	 Word note is in 2 documents
2017-1-15T11.19.29.368	At line '53' in file ''	 Word unregul is in 1 documents
2017-1-15T11.19.29.368	At line '53' in file ''	 Word profit is in 3 documents
2017-1-15T11.19.29.368	At line '53' in file ''	 Word maxim is in 1 documents
2017-1-15T11.19.29.368	At line '53' in file ''	 Word tempt is in 1 documents
2017-1-15T11.19.29.368	At line '53' in file ''	 Word holder is in 1 documents
2017-1-15T11.19.29.369	At line '53' in file ''	 Word european is in 2 documents
2017-1-15T11.19.29.369	At line '53' in file ''	 Word outdat is in 1 documents
2017-1-15T11.19.29.369	At line '53' in file ''	 Word absent is in 2 documents
2017-1-15T11.19.29.369	At line '53' in file ''	 Word europ is in 2 documents
2017-1-15T11.19.29.370	At line '53' in file ''	 Word under is in 2 documents
2017-1-15T11.19.29.370	At line '53' in file ''	 Word usa is in 2 documents
2017-1-15T11.19.29.370	At line '53' in file ''	 Word far is in 2 documents
2017-1-15T11.19.29.370	At line '53' in file ''	 Word contest is in 1 documents
2017-1-15T11.19.29.370	At line '53' in file ''	 Word revolut is in 1 documents
2017-1-15T11.19.29.371	At line '53' in file ''	 Word organis is in 4 documents
2017-1-15T11.19.29.371	At line '53' in file ''	 Word industrial is in 1 documents
2017-1-15T11.19.29.372	At line '53' in file ''	 Word harvard is in 1 documents
2017-1-15T11.19.29.372	At line '53' in file ''	 Word structureconductperform is in 1 documents
2017-1-15T11.19.29.372	At line '53' in file ''	 Word monopolist is in 1 documents
2017-1-15T11.19.29.372	At line '53' in file ''	 Word static is in 3 documents
2017-1-15T11.19.29.373	At line '53' in file ''	 Word stage is in 1 documents
2017-1-15T11.19.29.373	At line '53' in file ''	 Word somewhat is in 1 documents
2017-1-15T11.19.29.373	At line '53' in file ''	 Word input is in 2 documents
2017-1-15T11.19.29.374	At line '53' in file ''	 Word essenti is in 2 documents
2017-1-15T11.19.29.374	At line '53' in file ''	 Word rival is in 1 documents
2017-1-15T11.19.29.374	At line '53' in file ''	 Word profitshar is in 1 documents
2017-1-15T11.19.29.374	At line '53' in file ''	 Word pricecap is in 1 documents
2017-1-15T11.19.29.374	At line '53' in file ''	 Word costbas is in 1 documents
2017-1-15T11.19.29.375	At line '53' in file ''	 Word disincent is in 1 documents
2017-1-15T11.19.29.375	At line '53' in file ''	 Word multiproduct is in 1 documents
2017-1-15T11.19.29.375	At line '53' in file ''	 Word ramseyboiteux is in 1 documents
2017-1-15T11.19.29.375	At line '53' in file ''	 Word load is in 1 documents
2017-1-15T11.19.29.375	At line '53' in file ''	 Word peak is in 1 documents
2017-1-15T11.19.29.376	At line '53' in file ''	 Word capit is in 6 documents
2017-1-15T11.19.29.376	At line '53' in file ''	 Word overinvest is in 1 documents
2017-1-15T11.19.29.376	At line '53' in file ''	 Word rate is in 4 documents
2017-1-15T11.19.29.376	At line '53' in file ''	 Word monopoli is in 3 documents
2017-1-15T11.19.29.376	At line '53' in file ''	 Word instanc is in 3 documents
2017-1-15T11.19.29.377	At line '53' in file ''	 Word regard is in 3 documents
2017-1-15T11.19.29.377	At line '53' in file ''	 Word tension is in 1 documents
2017-1-15T11.19.29.377	At line '53' in file ''	 Word averag is in 1 documents
2017-1-15T11.19.29.378	At line '53' in file ''	 Word productcaus is in 1 documents
2017-1-15T11.19.29.378	At line '53' in file ''	 Word undervalu is in 1 documents
2017-1-15T11.19.29.378	At line '53' in file ''	 Word riskcompens is in 1 documents
2017-1-15T11.19.29.379	At line '53' in file ''	 Word presenc is in 1 documents
2017-1-15T11.19.29.379	At line '53' in file ''	 Word specialist is in 1 documents
2017-1-15T11.19.29.379	At line '53' in file ''	 Word live is in 1 documents
2017-1-15T11.19.29.379	At line '53' in file ''	 Word industri is in 7 documents
2017-1-15T11.19.29.380	At line '53' in file ''	 Word technocrat is in 1 documents
2017-1-15T11.19.29.380	At line '53' in file ''	 Word scienc is in 1 documents
2017-1-15T11.19.29.380	At line '53' in file ''	 Word henc is in 1 documents
2017-1-15T11.19.29.380	At line '53' in file ''	 Word policymak is in 1 documents
2017-1-15T11.19.29.381	At line '53' in file ''	 Word dilemma is in 2 documents
2017-1-15T11.19.29.381	At line '53' in file ''	 Word pair is in 1 documents
2017-1-15T11.19.29.381	At line '53' in file ''	 Word reput is in 1 documents
2017-1-15T11.19.29.382	At line '53' in file ''	 Word believ is in 1 documents
2017-1-15T11.19.29.382	At line '53' in file ''	 Word warrant is in 1 documents
2017-1-15T11.19.29.382	At line '53' in file ''	 Word enough is in 1 documents
2017-1-15T11.19.29.382	At line '53' in file ''	 Word expens is in 2 documents
2017-1-15T11.19.29.382	At line '53' in file ''	 Word group is in 3 documents
2017-1-15T11.19.29.383	At line '53' in file ''	 Word suspicion is in 1 documents
2017-1-15T11.19.29.383	At line '53' in file ''	 Word lead is in 5 documents
2017-1-15T11.19.29.383	At line '53' in file ''	 Word qualiti is in 3 documents
2017-1-15T11.19.29.383	At line '53' in file ''	 Word licensur is in 1 documents
2017-1-15T11.19.29.383	At line '53' in file ''	 Word stateestablish is in 1 documents
2017-1-15T11.19.29.383	At line '53' in file ''	 Word meet is in 1 documents
2017-1-15T11.19.29.383	At line '53' in file ''	 Word licens is in 2 documents
2017-1-15T11.19.29.384	At line '53' in file ''	 Word agenc is in 5 documents
2017-1-15T11.19.29.384	At line '53' in file ''	 Word stress is in 2 documents
2017-1-15T11.19.29.384	At line '53' in file ''	 Word ftc is in 1 documents
2017-1-15T11.19.29.384	At line '53' in file ''	 Word consum is in 4 documents
2017-1-15T11.19.29.384	At line '53' in file ''	 Word retard is in 1 documents
2017-1-15T11.19.29.384	At line '53' in file ''	 Word attorney is in 1 documents
2017-1-15T11.19.29.384	At line '53' in file ''	 Word health is in 2 documents
2017-1-15T11.19.29.385	At line '53' in file ''	 Word counterproduct is in 1 documents
2017-1-15T11.19.29.385	At line '53' in file ''	 Word ban is in 1 documents
2017-1-15T11.19.29.385	At line '53' in file ''	 Word disclosur is in 1 documents
2017-1-15T11.19.29.385	At line '53' in file ''	 Word credenc is in 1 documents
2017-1-15T11.19.29.385	At line '53' in file ''	 Word decept is in 1 documents
2017-1-15T11.19.29.385	At line '53' in file ''	 Word truth is in 1 documents
2017-1-15T11.19.29.386	At line '53' in file ''	 Word advertis is in 2 documents
2017-1-15T11.19.29.386	At line '53' in file ''	 Word abl is in 2 documents
2017-1-15T11.19.29.386	At line '53' in file ''	 Word extent is in 5 documents
2017-1-15T11.19.29.386	At line '53' in file ''	 Word envisag is in 2 documents
2017-1-15T11.19.29.387	At line '53' in file ''	 Word avers is in 1 documents
2017-1-15T11.19.29.387	At line '53' in file ''	 Word bettersuit is in 1 documents
2017-1-15T11.19.29.387	At line '53' in file ''	 Word due is in 6 documents
2017-1-15T11.19.29.388	At line '53' in file ''	 Word class is in 4 documents
2017-1-15T11.19.29.388	At line '53' in file ''	 Word danger is in 2 documents
2017-1-15T11.19.29.388	At line '53' in file ''	 Word assent is in 1 documents
2017-1-15T11.19.29.388	At line '53' in file ''	 Word nonsimultan is in 1 documents
2017-1-15T11.19.29.389	At line '53' in file ''	 Word strike is in 1 documents
